Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominica,DMA,0,8.814844198,48.6,49.8,51,57.5,65,67.03,69.61966879,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominican Republic,DOM,0,3.704692356,38,42.32,45.9,49.58,54.21576634,63.87086474,67.57124533,74.82204836,75.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ecuador,ECU,0,1.462188536,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,0,0.641265038,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,44.95020425,46.92433677,57.2828664,71.9142004
Individuals using the Internet (% of population),IT.NET.USER.ZS,El Salvador,SLV,0,1.177397269,18.9,20.32138772,23.1093,24.76171215,26.80260496,28.99707305,33.8207289,43.8,50.49119319,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Equatorial Guinea,GNQ,0,0.132354665,11.5,13.94318219,16.4,18.86,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eritrea,ERI,0,0.136711941,0.7,0.8,0.9,0.99,1.083733116,1.17711872,1.30890698,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Estonia,EST,0,28.57695381,76.5,78.38992593,80.0043,84.24152803,88.4097035,87.24023275,88.10245687,89.35700777,90.2289282,89.05828666
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eswatini,SWZ,0,0.926191777,18.13,20.78178258,24.7,25,25.64304231,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ethiopia,ETH,0,0.015263767,1.1,2.9,4.6,7.7,13.85517556,15.36692386,18.61805145,22,25,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Faroe Islands,FRO,0,32.91639236,80.7321728,85.33518924,90,93.3,94.2,95.10868167,97.58195894,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fiji,FJI,0,1.496854734,28,33.74235675,35.2,37.4,42.5,46.50697831,49.96637301,..,..,..
